Source (A)	Source (B)	Source (C)	posemo	negemo
631126571957526020	negative	Not Available	0.00	0.00
631142584732114050	negative	Rick Perry may be the first to drop out. Out of money.  http://t.co/zwmnwXbH0J #GOP2016	0.00	0.00
631211448304274940	negative	I think a big part of Rick Perry's fall is simply that he is not a sitting governor this time around. May be Jeb's downfall too.	0.00	0.00
631236570918584060	neutral	Why Rick Perry's campaign's financial woes may not mean as much in the age of SuperPACs. https://t.co/tmjA7pECUv	0.00	4.76
631250425488903940	negative	Rick Perry may have to drop out of the race, before one vote is cast, because he has run out of money. I have mixed feelings about that.	0.00	0.00
631284054147492990	negative	I like Rick Perry. Wish that news was about Graham, Jeb or Christie instead https://t.co/ikEoZP6Nze	5.26	0.00
631443056064135040	neutral	So only the independently wealthy?!? Rick Perry's campaign staff is working for free 99. #SkimmLife http://t.co/abrgkGDs7I via @theSkimm	9.09	0.00
631450098342342020	negative	Rick Perry has stopped paying his campaign staff. Is this a sign he may drop out? #Stop #Sign http://t.co/ogAVz3cHQw http://t.co/6wcMs0clqL	0.00	0.00
631505740537040000	negative	@foxandfriends @realDonaldTrump -How could anyone (Other than Megyn Kelly) compare Rick Perry with Trump? C'mon. Perry is a joke.	5.00	0.00
631547008549912060	negative	May be Rick Perry wishes he would have answered question he was asked 5 times in 24 hours on fox what would u do with 11 million illegals?	0.00	0.00
631547938372583040	negative	Rick Perry said he was the Zar of stopping illegals sat there and glossed himself for 2 months how he could secure the border not 1 idea11 m	3.57	0.00
631552011897539970	neutral	What if Rick Perry won't drop out of the 2016 race? @jbview http://t.co/fJviESEprq	0.00	0.00
631558932293656060	positive	Personally, I like Rick Perry and appreciate what he did for Texas. But as president...dunno. He may start a war by mispronouncing something	8.33	4.17
631560895349542020	negative	http://t.co/iUKDKLe5Zu - Rick Perry May Be the First Establishment Casualty of the GOP's Ridiculous 2016 Primary http://t.co/vCJ1eh4nxE	0.00	4.17
631564061424110980	negative	#bloomberg Rick Perry May Not Have an Exit Strategy - New campaign-finance rules may block the normal winnowing pr... http://t.co/SUY4Dy9VKc	4.17	0.00
631566440726952960	negative	AMintheAM #GOP2016 - Loser of the Week  Rick Perry : Not paying staff + polling at 1% or less = 1st to drop out? http://t.co/ansGS5wj7G	0.00	4.00
631584542269181060	negative	@OpposingViews I hear it may only be 15. Rick Perry is having trouble finding a ride to the venue.	0.00	5.26
631816294602379010	negative	Rick Perry May Not Have an Exit Strategy. I encourage all Perry supporters to read this. Get the story out there.  http://t.co/pF3iCzMaug	7.69	0.00
631869558282914940	neutral	Rick Perry may actually just be outsourcing his campaign staff to Super PACs: http://t.co/rO3MaEWIQv	5.56	0.00
631889459538034050	neutral	Supporters that are supporting Ted Cruz, Rick Perry, &amp; Sarah Palin &amp; family-should look at the facts that their employer may think your also	8.00	0.00
631922868675325060	neutral	Not Available	0.00	0.00
631979163918864000	positive	Not Available	0.00	0.00
632162719165234940	positive	@OhWowHmm I'll vote for either Ted Cruz or Rick Perry, whichever one is the 1st to declare their state as the "Home of 3 First Round Picks"	0.00	0.00
632168541114998020	negative	Pundits: Rick Perry's Our Pick as 1st to Quit GOP Race Former Texas Gov. Rick Perry will be the first to drop out... http://t.co/XQiPg7HlNC	0.00	0.00
632284755958956030	negative	Christie may beat him to it but either way both are out. Insiders: Rick Perry will be first to drop out http://t.co/OOU4003Y5h	0.00	0.00
632535550042504960	negative	Rick Perry a certified moron  - he's the real "cancer" to use his words - not Trump  http://t.co/iy4goB9xSM via @voxdotcom	0.00	4.55
632584733625442050	positive	Rick Perry succeeded with 12th largest economy in the world Texas He will be a successful President for all American http://t.co/9cx5S19nIw	7.41	0.00
632584825162059010	negative	Rick Perry failed at the City Club of Chicago luncheon today where they turned away thousands of people (Sun Times).	0.00	5.00
632713738559220990	neutral	Chris Christie or Rick Perry May be the First to Drop Out of Presidential Race: Beginning with Sen. Ted Cruz i... http://t.co/4Vm1Xs0kHo	0.00	0.00
632819879465218050	negative	Found FOX NEWS Poll before debate without Rick Perry on it, this maybe why http://t.co/hBCIeCy3fT  Polls rigged? VIP http://t.co/CHiK9Vj7yV	0.00	0.00
633147089837424000	negative	@Rick_Perry2016  Check this out.It's 3rd POLL I've found that doesn't have Rick Perry's name on it:http://t.co/BUWxi8Wfma See # VISITS=VOTES	0.00	0.00
633313021155150980	negative	No mention of the border Trade of Mexican women impregnated till 9th month,then thrown over USA border to drop another  illegal?Rick Perry?	0.00	0.00
633338008918433020	negative	After raising only a little over $1 million for his campaign by the end of June, Rick Perry has stopped paying campaign staff members,	0.00	0.00
633443743165616000	negative	Scott Walker is getting so desperate, we may just see him borrowing Rick Perry's black frame eyeglasses.	0.00	5.88
633647867048017020	negative	@iowahawkblog @jpodhoretz I went to Texas A&amp;M but oddly never met Rick Perry.  I think he may have spent that year in Pakistan.	0.00	0.00
633648878168993020	neutral	Rick Perry tomorrow morning at 8:15a with Robert Rees at The Iowa State Iowa State Fair	5.88	0.00
633700543492434940	negative	Rick Perry may by a vineyard and retire so he can whine all day.	0.00	7.14
633759343511362940	negative	Rick Perry is playing along with the fake claim 14th Amendment protects anchor babies..it specifically says not.  https://t.co/WdmBow1slf	4.35	4.35
633774775542902020	positive	Good for the Des Moines Register and good for Rick Perry.  He will make you all proud. https://t.co/OgBoS2KJvh	13.64	0.00
633821009691414020	negative	Clever, but dishonest the way Fox manipulated the polls to get Kasich in the 10th spot, eliminating Rick Perry. https://t.co/sSkybsYuHh	4.17	0.00
633827960060013950	positive	Better take another look at Rick Perry.  Best record in the 12th largest world economy. AAA rating. https://t.co/BGcwYhhazc	9.09	0.00
633869705967591040	negative	@people WHY?? Phil is as simple as that ridiculous state he's from. The boy may as well go have a little chat with rick perry!	4.00	4.00
634000466108678020	positive	I hear Rick Perry is gleefully almost beside himself with joy today, as the 1st fully formed human brain nears completion. #Upgrade	4.55	0.00
634025917879192960	negative	Rick Perry needs to stop bragging about governing the "12th largest economy in the world" like Texas has its own Federal Reserve System.	0.00	0.00
634043644832562940	neutral	Why not give Rick Perry a look?  He is a Christian conservative with a proven record of 12th largest economy world. https://t.co/sNlXucsjly	0.00	0.00
634054903795585020	neutral	Rick Perry drops out of the race &amp; leaves politics. Starts a movie production company meant to rival Marvel Studios. 1st film: Roland Raven.	0.00	0.00
634386634457264000	negative	Not Available	0.00	0.00
634516378268119040	negative	.@marklevinshow apparently Rick Perry is an idiot on the 14th Amendment as well. He needs a Levin intervention too. As bad as O'Reilly.	4.17	8.33
634582110607641980	neutral	.@JenniferJJacobs: Rick Perry: A young 1st term senator put country's economy and foreign policy in the ditch, time for experienced leader.	0.00	0.00
634836715023106050	neutral	@TomLeb @jrosenbaum As far as I know Rick Perry hasn't tried to illegally bond for a second football stadium while still paying on the 1st 1	0.00	0.00
635086015103926020	positive	Rick Perry has a great record of solving problems in the 12th largest economy worldwide.  Others have plans only https://t.co/6dMVOp18w0	3.85	3.85
635126711370272000	positive	The man with WORKING SOLUTIONS for America! Rick Perry speaks at the National Press Club - July 2, 2015 https://t.co/MYLmBAVCZB via @YouTube	0.00	0.00
635152091686699010	neutral	#Overheard at #Candidate101: "Did you know that Rick Perry ran out of $ to pay his staff? It's the 1st time he's paid women as much as men!"	0.00	0.00
635174440410705020	positive	Limited government leads to unlimited opportunity...the Constitution is my owner's manual...10th Amendment. Gov Rick Perry #dream15	5.26	0.00
635228785118347010	neutral	Not Available	0.00	0.00
635302461620681980	positive	Rick Perry is amazing. His speech was the best hands down. #perry2016 https://t.co/97j8jIe8tE	10.53	0.00
635317091524960000	positive	LOL. I am quit sure that isn't the future 4 Rick Perry. He is the 1 that will give us back what we lost. We need him https://t.co/oQUc4jLoaH	6.25	3.12
635511937460146050	positive	Mark your calendar!  August 28 - 8 AM  Come out and meet Gov. Rick Perry!  Dawnbusters with Lexington GOP... http://t.co/gXCzYzzaxH	0.00	0.00
635972220582521980	positive	RT: U can't keep him down.. Rick Perry may not have the most money, but has the most Active Grass Roots.. http://t.co/2SRpk22FkA/s/sopK	3.45	0.00
636268162774862980	neutral	Rick Perry may be able to pay his staffers again, but he's still propped up by super PAC billionaires. http://t.co/SeupVkyxJd	4.17	0.00
636525799185752060	negative	@_HankRearden I'm not sure that hiring an adviser from Rick Perry's campaign is a wise decision; he may be a GOP plant to derail Trump.	8.00	0.00
636697201864014980	positive	Former Gov. Rick Perry said Wednesday financial woes won't be the death knell for his second bid for the White House: http://t.co/tKnZUBEiTF	0.00	3.85
636919800850092030	positive	@RBPundit I really like Rick Perry,but Rubio is my strong 2nd choice,where can I read about his Immigration policy?	4.76	0.00
637053685873245950	neutral	True. Except that Rick Perry has more swagger.  Trump may have had a point when he said Jeb is asleep.  https://t.co/ObX0y7GXx2	4.00	0.00
637344525808045950	neutral	@BlueWaterDays Rick Perry was appointed by Bush when he became POTUS. 1st reelection was by voter grace 4 a new incumbent.	4.76	0.00
637576831374371970	neutral	@Republikim1 The fact that he officially endorsed Rick Perry back in June.	0.00	0.00
637635907160423940	neutral	Hey Trumpkins: Remember that time when the 1st major political figure to recognize AND speak at a rally for Tparty was RICK PERRY in Austin?	0.00	0.00
637654185387819010	neutral	@kelliwardaz When it comes to John McCain, Trump is right; Rick Perry is clueless. Nicknamed "Songbird" in VietNam. https://t.co/xBalSRhBWl	0.00	0.00
637954567020412030	negative	@hale_razor @_Holly_Renee Rick Perry forgetting the 3rd thing was a career ending thing. Higher offense than all Hillary past SMH	0.00	9.09
639095967120162050	positive	Nathan, I'm still interested in working for you if a position is available. I know Rick Perry is our best choice. https://t.co/eV4cjwgCoY	7.69	0.00
639127327432118020	positive	Obama gets Iran victory, TABOR gets another black eye, &amp; Rick Perry prepares for the end. http://t.co/NnsWyecpHZ #copolitics #copols #coleg	0.00	0.00
639213915885411970	neutral	I don't have inside dope but, based on grim reports from NH, it may be the end for Rick Perry's campaign. If he goes, I say he backs Kasich	0.00	3.45
639228206101433980	neutral	As I write a check to my nanny, it occurs to me that I may have more money than Rick Perry's campaign.	0.00	0.00
639459343855960060	neutral	Rick Perry's presidential campaign lost its second co-chair in Iowa on Monday as it continues to hemorrhage staff because of deep	0.00	4.55
639530270203494020	negative	Line of the day: "Rick Perry has the mental aptitude of two dogs in an overcoat" http://t.co/5r5sDTNzyo	0.00	0.00
639611172698786940	positive	In 14 years Gov. Rick Perry's conservative principles madeTX the 12th largest Global economy https://t.co/AmrzDttmq0 http://t.co/JV95TgpdQa	0.00	0.00
639618101038870020	neutral	#InOtherNews  Rick Perry flatly denied Trump's assertion Thursday that he was bowing out of the race.	0.00	0.00
639666418162647040	neutral	Not Available	0.00	0.00
639671940702208000	neutral	A broken clock is right once a day--Rick Perry Thurs on Fox #UniteBlue #tcot #oopsididitagain	0.00	0.00
639836926820883970	negative	@nanjmay6478 I used to really like Rick Perry, just has become so bitter. He may be very sad. He should try to smile http://t.co/pPkwJi5r7C	3.57	7.14
639840067171785980	positive	If Rick Perry does not win the election, he has lost nothing as he is a strong family man, and a true Christian. https://t.co/jfo2HrUnv8	10.71	3.57
639851720072294020	negative	@MotherJones @BernieSandersCT Looked like Rick Perry! Let's see what the NJ hypocrite J.Scarborough has to say about this Monday Morning?	0.00	0.00
639906245474828030	neutral	Smart money says Rick Perry will be the first to call it quits. He may be a winner in Texas but not nationally. http://t.co/UhUe2S2SRJ	7.14	0.00
640093913273888000	negative	@SharonLSandoval @realDonaldTrump Bet you haven't donated much to Rick Perry, if at all. He's a loser &amp; someone has to be the 1st to go out.	0.00	3.85
640302778355548030	neutral	Rick Perry the 1st time he ran said if we were against $ for illegals we had no heart, he is a blowhard,don't forget https://t.co/8KnNnzzesq	0.00	0.00
640308536224775940	positive	Contrary to what you may have heard in the media, Rick Perry has a loyal, dedicated team that is committed to... http://t.co/IOr3iD1pIc	3.85	0.00
641232402598226940	positive	14yrs Rick Perry ran the 12th largest economy in the WORLD,left with 18bil Surplus 27Mill people &amp; created ALL of the job growth in America!	3.85	0.00
641479820606615040	neutral	Heres your 1st choice Rick Perry the "conservative" http://t.co/B17cqFAfQt #NRORevolt  https://t.co/eHCLHMpfEV	0.00	0.00
637296081504615940	neutral	Sarah Palin says she'll interview Donald Trump on cable's One America News Network Friday night - https://t.co/TOFkqWJETD #breaking-news	0.00	0.00
637307138323385980	neutral	Best part about following Sarah Palin on twitter is, no matter how much you double check, you always think it may be a parody account...	4.00	0.00
637323305586925060	neutral	On the day before the 7th anniversary of John McCain's VP choice, Sarah Palin will interview Donald Trump. Or is... http://t.co/JqgvAARImX	0.00	0.00
637336924651261060	negative	Sarah Palin may be the only reporter Donald Trump wants to have on his campaign bus because she asks only questions Trump needs her to ask.	0.00	0.00
637374348873986050	neutral	Chicago (IL) Sun-Times: Cancel all plans tonight: Sarah Palin is interviewing Donald Trump	0.00	0.00
637383248226684030	negative	Sarah Palin may be batshit crazy but I'd love to have a threesome with her &amp; Nikki Haley. #milf #cougar_town #LegsDay http://t.co/FogwvmiyaO	3.70	3.70
637406432753794940	neutral	Wednesday: Too soon to talk gun control Thursday: Still too soon Friday: Oh Donald Trump and Sarah Palin talking about a wall, let's tune in	0.00	0.00
637451800472370940	neutral	Well...  #SNL is hunting for material for October's TV return.  RE:  One America News Networks with Sarah Palin and Donald Trump.	4.76	0.00
637456987454766980	neutral	recording that Sarah Palin OAN show when it replay's tomorrow, i'll upload and torrent it for anyone who can't get it	0.00	0.00
637476796565319040	neutral	Donald Trump finally showed restraint in a television interview Friday night when he was interviewed by Sarah Palin. http://t.co/VxxjN7Y49U	0.00	0.00
637512960164760960	negative	The interview with Trump and Sarah Palin hurt my soul. I may have lost brain cells.	0.00	12.50
637517766627576960	negative	I swear watching that interview just made me wanna throw Sarah Palin and Trump in a rocket to the sun	0.00	0.00
637523206648146940	neutral	Not Available	0.00	0.00
637557910139202940	negative	@EmaSlema  Q: What's the difference between Sarah Palin and Donald Trump? A: Lipstick  You may be too young to get that	0.00	0.00
637627074971352960	negative	When Sarah Palin and Donald Trump speak for America, I think it may be time for a new revolution.	0.00	0.00
637651707325841020	negative	Sarah Palin's brain aged like a tub of sour cream left in the sun.	0.00	0.00
637654451243884030	neutral	Wow. This informercial Sarah Palin did for Donald Trump's campaign is great. They should air it every night at 2am. http://t.co/f9U4x2rnXM	8.00	0.00
637685251397976060	negative	Sarah Palin being chosen as Donald Trump's running mate or chief promoter may be the last thing that could ever surprise folks!	4.55	0.00
637688304767500030	negative	When Sarah Palin met Donald Trump via @guardian  'If this was journalism, it was not as we know it.' http://t.co/4AVynd59ub #WhiteHouse2016	0.00	0.00
637739147529026940	neutral	Not Available	0.00	0.00
637748076594204030	neutral	On Friday night, former vice presidential candidate Sarah Palin chatted with current GOP presidential candidate... http://t.co/dLiAouFzMv	0.00	0.00
637778540759378940	positive	Not Available	0.00	0.00
637848111214235010	positive	Not Available	0.00	0.00
637944190954012030	positive	August 29, 2015  VIDEO: What Sarah Palin and Donald Trump  Did Last Night Is Exploding Across the Internet http://t.co/w33e8gcu4b	0.00	0.00
638152579189489020	neutral	@Tengrain I would note that SARAH PALIN is happy to call it Denali ("the great one, soaring under the midnight sun") http://t.co/xGYdoKdga9	7.69	0.00
638155625059500030	neutral	I love that Sarah Palin called Donald Trump "avant garde." I like to believe that Trump squints because he sees the truth like a sun.	12.00	0.00
638215268603460990	negative	I'd say this makes me think of Sarah Palin's "I can see Russia" moment, but that's basically the whole GOP. http://t.co/NQZHF46Pbg	0.00	0.00
638316929497885950	negative	Upset Ohioans: Can we name the Rock N Roll Hall of Fame after Sarah Palin and call it even? #denali https://t.co/ENyu2UaTIx	0.00	4.00
638450291264777980	neutral	I didn't see he had a meeting with Sarah Palin in his schedule. https://t.co/VCdKo1QgxM	0.00	0.00
638467454377790980	neutral	Not Available	0.00	0.00
638514104383224960	negative	C'mon Ohio, Alaska is stuck with Sarah Palin &amp; her clan. Give them the mountain back. #Denali  #inners	0.00	0.00
638879132349132030	positive	#Denali, the great one soaring under the midnight sun. Sarah Palin Sunday July 26, 2009 3pm Farewell Speech.	5.56	0.00
638895394576051970	neutral	August 28, 2015  'On Point' with Gov. Sarah Palin &amp; Donald Trump  https://t.co/mdvY3Lox4n	0.00	0.00
639049337574592000	neutral	@democracynow @GOP Sarah Palin and @HillaryClinton Address the Nation from Saturday Night Live http://t.co/NFYCgznyon #ClimateChange	0.00	0.00
639461839760396030	positive	@morningmika Your morning show is the one thing on any NBC outlet that is worth watching. May God always bless Sarah Palin and her family!	4.00	0.00
639892003640209020	negative	@TheDKEU Hi, I have a sneaking suspicion Barack Obama and Sarah Palin may be part of the DKEU. Can you find out, please?	4.35	4.35
639945279211356030	negative	This sounds like when Sarah Palin was interviewed and didn't know the answer.  Claimed she was being set up. https://t.co/5rUrZ6Yb18	0.00	0.00
639967442328878980	neutral	Attn #Carly Fans: This Sunday mornng CBSFace has Carly Fiorina as does Fox News Media Buzz. Sarah Palin with Jake Tapper on CNN StateofUnion	0.00	0.00
639969093827842050	neutral	Not Available	0.00	0.00
640002631541346050	neutral	You know, "Mommy" from The People Under The Stairs may have had been an unintentional parody of Sarah Palin when you get down to it.	0.00	0.00
640026183275520000	negative	Tina Fey may look like Sarah Palin but she sure as hell has a lot more going on in the brain region #Bossypants http://t.co/tPIb50u0UQ	3.57	3.57
640278522116836990	negative	Why in God's name would CNN have Sarah Palin on tomorrow? There's no one else from Alaska who can talk about Obama's visit?	0.00	0.00
640294637278785020	negative	@chicagotribune can u imagine if Sarah palin did this. Rex huppke would be mocking her all day! But a dem says it ... http://t.co/vDk7EZxjXk	0.00	3.70
640365968535870980	positive	Sarah Palin @jaketapper good talking with you today from Last Frontier! Tune into @CNNsotu to hear our conversation Sunday 9 am12 pm east	4.35	0.00
640511154809208060	negative	Made my morning coffee and sat down to watch the news...Sarah Palin is on.   What a horrible way to start the day.	0.00	4.35
640512199014744060	negative	Pls CNN why in a world u bring this idiot Sarah Palin on Sunday great news program state of the Union CNN u really fuck up my Sunday	3.57	7.14
640518872412626050	negative	Imagine how deprived we'd be without the Sunday morning shows sharing with us the wisdom of Sarah Palin and Dick Cheney. #p2 #topprog	8.70	4.35
640526445983337980	neutral	8 Rs &amp; 1 D on the Sunday news show, including Sarah Palin.  "Liberal media"???? http://t.co/w1XxixMJnJ	0.00	0.00
640530992344755970	negative	@CNNSotu @SarahPalinUSA  Sarah Palin may be a stupid cow  -- but she is our stupid cow. We love her	5.56	11.11
640536744018898050	neutral	@CNNSotu @CNN Dear CNN thank you for advertising Sarah Palin was going to be on your show Sunday morning. I didn't watch. Get wise!	12.50	0.00
640540228479008000	neutral	Palin eyes Energy secretary job in Trump Cabinet - Former Alaska Gov. Sarah Palin said Sunday she could see hersel... http://t.co/lSpcmZFIn2	4.17	0.00
640543467542850940	neutral	What a wonderful Sunday. We've already received great insight from the best of the Republican Party (Colin Powell) and worst (Sarah Palin)	18.18	4.55
640547594549260030	negative	My gods, Sarah Palin is genuinely crazy, isn't she...  http://t.co/19YKe4lzTr	0.00	6.67
640557580675214980	neutral	9am sun: I hope my neighbors just heard me ask my phone to google "Sarah Palin's makeup routine" and then sneeze like a lumberjack 3x	4.00	0.00
640559245037992960	negative	@CNN - When you waste Sunday pretending Sarah Palin or her opinions are relevant you just admit that you've given up on being a news source.	0.00	0.00
640563059161853060	negative	Not Available	0.00	0.00
640585083758379010	negative	I think Sarah Palin may have a health issue . I had a hyper - active thyroid and I still can't remember all of the odd things I said &amp; did.	3.45	0.00
640591357669678980	negative	Watching Sarah Palin telling people to speak "American" was the highlight of my Sunday. That was some classic self destruction.	0.00	5.00
640596060403073020	negative	Why does the media keep giving this brain dead moron air time?  Former Alaska Gov. Sarah Palin said Sunday she... http://t.co/IMWHN4wJ5v	4.00	4.00
640613361441472000	negative	Someone may want to let Sarah Palin know that American is a nationality, while English is a language.	0.00	0.00
640646935485897980	negative	It's possible Sarah Palin may be more of a moron than trump.. They said it was impossible	0.00	5.88
640648943412489980	negative	How is sarah Palin still in politics. She was and still is the embarrassment of the Gop, but she may be out done by some douche &amp; his toupee	0.00	3.45
640662208465124990	negative	Not Available	0.00	0.00
640691495775939970	neutral	We need to thank the Left for making Gov. Sarah Palin trend ALL DAY on the Sunday before Labor Day on Twitter. Thanks guys.	8.33	0.00
640695245429017980	negative	Shouldn't Sarah Palin be putting her  little mind onto maters such as 'who is the baby daddy for my 4th grandbaby??	0.00	0.00
640702440166280960	neutral	Sarah Palin Orders Immigrants to "Speak American": Speaking with CNN's Jake Tapper Sunday, Palin blasted Spani... http://t.co/jed7IyikKM	0.00	0.00
640717115809394050	neutral	'Sarah Palin' appeared on Sunday 6 at the 14th place in the Top20 of Birmingham's Trends: http://t.co/MdAVbFpaI1 #trndnl	0.00	0.00
640743005939330940	neutral	Sarah Palin wants Americans to "speak American". Unlike her to make a gaffe... http://t.co/qJdEkMlAbN	0.00	0.00
640746323520524030	neutral	Sarah Palin wants immigrants to the US to speak some new language called "American". http://t.co/V7YlTYOU3V #US #NotOnion	0.00	0.00
640761809968888960	positive	Not Available	0.00	0.00
640766599172091010	neutral	Sarah Palin announced Sunday night that she will be joining Donald Trump and Ted Cruz at the Stop the Iran... http://t.co/xKxoVtcEyj	0.00	0.00
640786774533517060	negative	Some low hanging Monday fruit:  "Sarah Palin says immigrants to the US should 'speak American'" http://t.co/aaKybqiLbK	0.00	4.76
640793086889753980	negative	Sarah Palin says US immigrants should speak "american", does she mean Navajo or Sioux? http://t.co/SLfVeoMb6C	0.00	0.00
640795901733305980	neutral	WASHINGTON -- In what could be a bid for a post in a future Donald Trump administration, Sarah Palin emerged out of the weeds on Sunday	0.00	0.00
640809645305634050	negative	Sarah Palin got French &amp; Spanish "all mixed up" in High School. She would, wouldn't she. http://t.co/PHOgLNQduR.	0.00	0.00
640815884156710020	negative	Sarah Palin says US immigrants should 'speak American' http://t.co/mQQ4Vk6CVs &lt; Errrr she means English right?	0.00	0.00
640823599461437060	negative	@guardian "Speak American" that may just sum up how stupid Sarah Palin is. I thought they spoke English in the US or a bastersised version.	0.00	4.00
640831813582061060	negative	Fantastic! Sarah Palin demands that migrants to USA 'speak American'. Can't make this stuff up. http://t.co/rxPfEubTiW	4.76	0.00
640845564884578050	negative	Hahaha - Sarah Palin wants immigrants to speak 'American'. They don't make 'em much dumber than her - http://t.co/JEwngB6Udt	4.76	4.76
640848405590315010	negative	Sarah Palin says immigrants to the US should 'speak American'. Just think: she could have been the Vice President http://t.co/IB1P4umes0	0.00	0.00
640876806195793020	negative	Today, Republicans will talk about how much they appreciate workers. Tomorrow they'll work to crush worker rights. #LaborDay sarah palin	5.00	0.00
640899655501500030	neutral	Sarah Palin is set to return with an uproarious new stand-up special premiering this Saturday night on HBO https://t.co/DC0bL1E8sm	4.17	0.00
640910366915042940	negative	@realDonaldTrump I despise Sarah Palin. You may want her support, but she'll end up sinking you like she did McCain. Proceed cautiously.	9.09	4.55
640929313005682050	negative	Saturday Night Live is going to have to find a new actress to play Sarah Palin, she's aged too much for Tina Fey to play her now.	7.41	0.00
640952814060104960	negative	@amandapalmer methinks one of the things that God dumped may have hit Sarah Palin on her noggin	0.00	5.88
640969544534769020	neutral	Sarah Palin tore into ESPN on Thursday night, calling the network "whimpering" and "intolerant" for suspending baseball analyst Curt	0.00	0.00
641025333542669950	neutral	Sounds like a Sarah Palin line that didn't make the cut for being too crass and glib. https://t.co/1hZ5pRxqq4	0.00	4.17
641044014746078980	neutral	#politics Dark side of the secret ballot?  Donald Trump and Sarah Palin may win big by going nativist  https://t.co/yASAs8BL5R via @TNH_News	3.85	0.00
641047727380409980	neutral	When Sarah Palin was tabbed as John McCain's running mate in 2008, the folks at "Saturday Night Live" decided ... http://t.co/b6AO4Ix2pt	0.00	0.00
641049345262006020	neutral	Sarah Palin may want us to speak American, but if she is in President Trump's cabinet many of us will be speaking Canadian. Andy Borowitz	0.00	0.00
641064723170086020	negative	Sarah Palin came out of a hole to let you know she's still shockingly ignorant http://t.co/VvhBzwGQQv	0.00	10.00
641071260944989950	negative	In boxing a 1-2 punch means a potential knock out If George W Bush was the 1st Punch in America's face, we were lucky to escape Sarah Palin	3.45	0.00
641101803388451970	negative	How does Sarah Palin stay so tan when she lives in a state that does not see sun 50% of the year?	0.00	0.00
641104702353107970	negative	The amount of people on Facebook sharing the Daily Currant article about Sarah Palin is hilarious. (Guys, it's satire. C'mon people.)	9.09	0.00
641151175639886980	negative	@MJosephSheppard Never said that the Dems weren't mistake-prone. Sarah Palin is just PATIENT ZERO for THE STUPID. In her defense GBW was 1st	0.00	12.50
641228106515116030	neutral	Sarah Palin to join Donald Trump and Ted Cruz at big rally in D.C. on Wednesday, 1:00 PM at the Capitol, to protest Obama's Iran nuke deal!	0.00	3.45
641243881791732990	neutral	#NoIranDeal DC Rally tomorrow with @realDonaldTrump @tedcruz &amp;  Sarah Palin  Remember our Hostages #BringThemHome http://t.co/fX6juOe6T5	0.00	0.00
641289540531949060	negative	Sarah Palin may have some kind of organic brain damage.  She's incoherent and inappropriate most of the time. https://t.co/JNn71bj06z	0.00	4.55
641290077570771970	negative	Donald Trump, Sarah Palin, and Ted Cruz are going to be speaking at the Capitol tomorrow and I'll be in class. Damn.	0.00	4.55
641300961944690050	negative	@daxgyetmhanaak people wholeheartedly believing satire about Sarah Palin is what got her the reputation she has in the 1st place.	0.00	0.00
639663874535329020	negative	Maybe this judge is on to something..unintended consequences to make SCOTUS listen https://t.co/MnJAX4eKpO	0.00	0.00
639783358613090050	neutral	Judge argues that since TN, per SCOTUS, can't determine what a marriage is, then it can't rule in contested divorces. http://t.co/xgocY3pvSF	0.00	4.00
639799404963187970	neutral	Not Available	0.00	0.00
639800231798833020	negative	@Petapup1 @S3nt13ntB31ng @SaculSacul won't  be the 1st time SCOTUS violated the Constitution &amp; won't be the last.	0.00	5.88
639813619681591040	negative	Not Available	0.00	0.00
639814702919512060	neutral	@jaxx613 @MGBazemoreJr @JoeC1776 @jsavite And the Constitution says that SCOTUS decides what is constitutional.  We may not agree.	5.56	0.00
639814785849249020	neutral	@FoxNewsLive  The Law of the land is religious freedom 1st Amendment protects RF not FRF. SCOTUS was wrong. Kate Smith is right	4.55	4.55
639827780126023040	positive	@magicalvidyacat Seems fitting that there's a parallel there, and that SCOTUS used 14th Amendment to override the 10th. @Rinaxas	0.00	0.00
639840882250747010	neutral	@jteberhard @cherry1779 The ssm isn't the issue here. That was settled by SCOTUS in June. This is about following the law	0.00	0.00
639842069754723970	neutral	You say it's not a right. SCOTUS says it is. Constitution says we follow SCOTUS. Fucking done! https://t.co/iyANr58fvq	0.00	4.55
639846074773965950	neutral	.@JTSoutherland What the 14th says or doesn't say is not up to you. The words have meanings. Legally, SCOTUS decides. They have.	0.00	0.00
639847221429603970	negative	@PoliticalLaughs @kesgardner Besides I don't believe that SCOTUS has the power to overturn state marriage laws per the 10th amendment	0.00	0.00
639871330884710020	negative	@Yowan @EyeAmSMF  However, I don't think today's SCOTUS and Fed Govt would interpret the 9th that way.  9th &amp;10th have seemingly disappeared	0.00	0.00
639877726342615040	neutral	@LizSchmidt3 SCOTUS determined that to be the 14th amendment's due process clause and equal protection clauses. #Oberfeige #readityourself	5.56	0.00
639899524287328000	neutral	Anybody asking what law #KimDavis broke needs to sit in on a 5th grade social studies class and learn the role of SCOTUS.	0.00	4.35
639908441239121020	neutral	Religious freedom, purposely protected by 1st A., is now trampled by the SCOTUS decision on gay marriage.#ImWithKim http://t.co/uarVbr8BE3	4.35	0.00
639920701462417020	neutral	Nope. Look at the SCOTUS rulings on the motto. They call it ceremonial *deism*. It's not reaffirming Christianity. https://t.co/ff8ytcQBK4	0.00	0.00
639923579715457020	neutral	@aquapub I know I'm stupid but it seems SCOTUS has established marriage as a right via 14th. Kim was denying people who legally qualified.	0.00	4.17
